Artist Name          Album Title                  Song Title             Position  Duration
GREEN DAY            DOOKIE                       LONGVIEW                      4              3:58    
GREEN DAY            DOOKIE                       WELCOME TO PARADISE           5              3:44    
GREEN DAY            DOOKIE                       PULLING TEETH                 6              2:30    
GREEN DAY            DOOKIE                       BASKET CASE                   7              3:00    
GREEN DAY            DOOKIE                       SHE                           8              2:14    
GREEN DAY            DOOKIE                       SASSAFRAS ROOTS               9              2:37    
GREEN DAY            DOOKIE                       WHEN I COME AROUND            10             2:57    
GREEN DAY            DOOKIE                       COMING CLEAN                  11             1:34    
HONEY FAMILY         HONEY FAMILY 1ST             INTRO                         1              1:48    
HONEY FAMILY         HONEY FAMILY 1ST             RAP GYO 1ST                   2              4:50    
HONEY FAMILY         HONEY FAMILY 1ST             BEING A DUSST                 3              3:54    
HONEY FAMILY         HONEY FAMILY 1ST             DONT BE LEFT OUT              4              4:32    
HONEY FAMILY         HONEY FAMILY 1ST             AFTER                         5              4:42    
HONEY FAMILY         HONEY FAMILY 1ST             I WANT TO KNOW HER            6              4:20    
HONEY FAMILY         HONEY FAMILY 1ST             MY WAY MENS STORY             7              4:13    
BARRY WHITE          ALL TIME GREATEST HITS       LOVES THEME                   1              4:08    
CARLOS SANTANA       SUPERNATURAL                 MARIA MARIA                   7              4:51    
HONEY FAMILY         HONEY FAMILY 1ST             RAP GYO 2ND                   9              4:02    
HONEY FAMILY         HONEY FAMILY 1ST             NEW TROLLS ANDANTE            10             5:03    
JUVENILE             400 DEGREES                  INTRO                         1              0:54    
JUVENILE             400 DEGREES                  HA                            2              4:32    
HONEY FAMILY         HONEY FAMILY 1ST             JUMP JUMP                     8              4:42    
JUVENILE             400 DEGREES                  GONE RIDE WITH ME             3              3:38    
JUVENILE             400 DEGREES                  FLOSSIN SEASON                4              3:36    
JUVENILE             400 DEGREES                  GHETTO CHILDREN               5              4:01    
JUVENILE             400 DEGREES                  FOLLOW ME NOW                 6              3:52    
JUVENILE             400 DEGREES                  CASH MONEY CONCERT            7              0:36    
JUVENILE             400 DEGREES                  WELCOME TO THE NO             8              4:31    
JUVENILE             400 DEGREES                  U.P.T.                        9              5:21    
JUVENILE             400 DEGREES                  RUN FOR IT                    10             4:30    
JUVENILE             400 DEGREES                  HA REMIX                      11             3:38    
LAURIE ANDERSON      BRIGHT RED                   SPEECHLESS                    1              5:20    
LAURIE ANDERSON      BRIGHT RED                   BRIGHT RED                    2              3:12    
LAURIE ANDERSON      BRIGHT RED                   PUPPET MOTEL                  3              3:09    
LAURIE ANDERSON      BRIGHT RED                   SPEAK MY LANGUAGE             4              3:38    
LAURIE ANDERSON      BRIGHT RED                   WORLD WITHOUT END             5              2:47    
LAURIE ANDERSON      BRIGHT RED                   FREEFALL                      6              4:32    
LAURIE ANDERSON      BRIGHT RED                   MUDDY RIVER                   7              3:02    
LAURIE ANDERSON      BRIGHT RED                   BEAUTIFUL PEA GREEN           8              4:20    
LAURIE ANDERSON      BRIGHT RED                   POISON                        9              3:47    
LAURIE ANDERSON      BRIGHT RED                   IN OUR SLEEP                  10             2:19    
LED ZEPPELIN         LED ZEPPELIN 4               BLACK DOG                     1              4:57    
LED ZEPPELIN         LED ZEPPELIN 4               ROCK AND ROLL                 2              3:40    
LED ZEPPELIN         LED ZEPPELIN 4               BATTLE OF EVERMORE            3              5:52    
LED ZEPPELIN         LED ZEPPELIN 4               STAIRWAY TO HEAVEN            4              8:03    
LED ZEPPELIN         LED ZEPPELIN 4               MISTY MOUNTAIN TOP            5              4:38    
LED ZEPPELIN         LED ZEPPELIN 4               FOUR STICKS                   6              4:48    
LED ZEPPELIN         LED ZEPPELIN 4               GOING TO CALIFORNIA           7              3:31    
LED ZEPPELIN         LED ZEPPELIN 4               WHEN THE LEVEL BREA           8              7:08    
LINKIN PARK          HYBRID THEORY                PAPERCUT                      1              3:05    
LINKIN PARK          HYBRID THEORY                ONE STEP CLOSER               2              2:36    
LINKIN PARK          HYBRID THEORY                WITH YOU                      3              3:23    
LINKIN PARK          HYBRID THEORY                POINTS OF AUTHORITY           4              3:20    
LINKIN PARK          HYBRID THEORY                CRAWLING                      5              3:29    
LINKIN PARK          HYBRID THEORY                RUNAWAY                       6              3:04    
LINKIN PARK          HYBRID THEORY                BY MYSELF                     7              3:10    
LINKIN PARK          HYBRID THEORY                IN THE END                    8              3:36    
MANA                 CUANDO LOS ANGELES LLORAN    COMO UN PERRO ENLOQU          1              3:12    
MANA                 CUANDO LOS ANGELES LLORAN    SELVA NEGRA                   2              4:23    
MANA                 CUANDO LOS ANGELES LLORAN    RINCON                        3              3:50    
MANA                 CUANDO LOS ANGELES LLORAN    EL RELOJ CUCU                 4              4:35    
MANA                 CUANDO LOS ANGELES LLORAN    MIS OJOS                      5              5:03    
MANA                 CUANDO LOS ANGELES LLORAN    ANA                           6              4:03    
MANA                 CUANDO LOS ANGELES LLORAN    SIEMBRA EL AMOR               7              3:25    
MANA                 CUANDO LOS ANGELES LLORAN    CUENDO LOS ANGELES L          8              4:50    
MANA                 CUANDO LOS ANGELES LLORAN    DEJAME ENTRAR                 9              4:15    
MANA                 CUANDO LOS ANGELES LLORAN    NO HA PARADO DE LLOV          10             5:10    
NELLY                GOING DOWN                   GOING DOWN                    1              4:32    
NELLY                GOING DOWN                   EL                            2              5:03    
PHISH                A MOVIE OF NECTAR            ELIZA I                       1              1:56    
PHISH                A MOVIE OF NECTAR            ELIZA II                      2              2:43    
PHISH                A MOVIE OF NECTAR            ELIZA III                     3              3:31    
PHISH                A PICTURE OF NECTAR          LLAMA                         1              3:31    
PHISH                A PICTURE OF NECTAR          ELIZA                         2              1:31    
PHISH                A PICTURE OF NECTAR          CAVERN                        3              4:24    
PHISH                A PICTURE OF NECTAR          POOR HEART                    4              2:45    
PHISH                A PICTURE OF NECTAR          STASH                         5              7:11    
PHISH                A PICTURE OF NECTAR          MANTECA                       6              0:29    
PHISH                A PICTURE OF NECTAR          GUELA PAPYRUS                 7              5:52    
PHISH                A PICTURE OF NECTAR          MAGILLA                       8              2:46    
PHISH                A PICTURE OF NECTAR          THE LANDLADY                  9              2:56    
PHISH                A PICTURE OF NECTAR          GLIDE                         10             4:12    
SCOOTER              HOW MUCH IS THE FISH         HOW MUCH IS FISH              1              3:45    
SCOOTER              HOW MUCH IS THE FISH         HOW MUCH IS FISH EX           2              5:23    
SCOOTER              HOW MUCH IS THE FISH         HOW MUCH IS FISH CL           3              6:11    
SCOOTER              HOW MUCH IS THE FISH         SPUTNIK                       4              3:06    
SNOOP DOGG           THA LAST MEAL                INTRO                         1              1:20    
SNOOP DOGG           THA LAST MEAL                HENNESEY AND BUDDAH           2              4:12    
SNOOP DOGG           THA LAST MEAL                SNOOP DOGG                    3              4:03    
SNOOP DOGG           THA LAST MEAL                TRUE LIES                     4              4:01    
SNOOP DOGG           THA LAST MEAL                WRONG IDEA                    5              4:14    
SNOOP DOGG           THA LAST MEAL                GO AWAY                       6              4:52    
SNOOP DOGG           THA LAST MEAL                SET IT OFF                    7              4:52    
SNOOP DOGG           THA LAST MEAL                STACEY ADAMS                  8              4:35    
SNOOP DOGG           THA LAST MEAL                LAY LOW                       9              3:43    
SNOOP DOGG           THA LAST MEAL                GAME COURT                    11             2:07    
SNOOP DOGG           THA LAST MEAL                BRING IT ON                   10             4:17    
SUBLIME              SUBLIME                      GARDEN GROVE                  1              4:21    
SNOOP DOGG           THA LAST MEAL                ISSUES                        12             2:36    
SUBLIME              SUBLIME                      WHAT I GOT                    2              2:51    
SUBLIME              SUBLIME                      WRONG WAY                     3              2:16    
SUBLIME              SUBLIME                      SAME IN THE END               4              2:37    
SUBLIME              SUBLIME                      APRIL 29 1992                 5              3:53    
SUBLIME              SUBLIME                      SANTERIA                      6              3:03    
SUBLIME              SUBLIME                      SEED                          7              2:10    
SUBLIME              SUBLIME                      PAWN SHOP                     9              6:06    
SUBLIME              SUBLIME                      JAILHOUSE                     8              4:53    
SUBLIME              SUBLIME                      PADDLE OUT                    10             1:15    
THERION              DEGGIAL                      SEVEN SECRETS OF THE          1              3:36    
THERION              DEGGIAL                      ETERNAL RETURN                2              7:10    
THERION              DEGGIAL                      ENTER VRIL YA                 3              6:38    
THERION              DEGGIAL                      SHIP OF LUNA                  4              6:28    
THERION              DEGGIAL                      THE INVINCIBLE                5              5:09    
